name,address,lat,lot
천리포해수욕장,대한민국 충청남도 태안군 소원면 의항리 978-7,36.8019873,126.1499038
난지도 해수욕장,대한민국 충청남도 당진시 석문면 난지도리 665,37.0467397,126.4229861
임랑해수욕장,대한민국 부산광역시 기장군 장안읍 임랑리 1-48,35.3186849,129.2654601
몽여해변,대한민국 인천광역시 중구 무의동 849-2,37.3731588,126.4456289
백리포해수욕장,대한민국 충청남도 태안군 소원면 의항리 488-1,36.81205,126.1543123
꾸지나무골해수욕장,대한민국 충청남도 태안군 이원면 내리 산172,36.9352262,126.292429
해운대 해수욕장,대한민국 부산광역시,35.1576744,129.1621473
광안리해수욕장,대한민국 부산광역시,35.1508871,129.1190813
낙산해수욕장,대한민국 강원도 양양군,38.1154827,128.6375117
설악해수욕장,대한민국 강원도 양양군 강현면 동해대로 3254,38.1300848,128.6234731
하조대 해수욕장,대한민국 강원도 양양군 현북면 하조대해안길 35,38.0231112,128.7253729
일산해수욕장,대한민국 울산광역시 동구 일산동 860-13,35.4956097,129.4320786
진하해수욕장,대한민국 울산광역시 울주군 서생면 진하해변길,35.3834168,129.3463184
속초해변,대한민국 강원도 속초시 조양동 1466-19,38.1882547,128.6057462
외옹치해변,대한민국 강원도 속초시 대포동 585-4,38.1836684,128.6089738
청호해수욕장,대한민국 강원도 속초시 청호동 550-13,38.2039399,128.5951991
물치해수욕장,대한민국 강원도 양양군 강현면 물치리 7-17,38.1532368,128.6088054
정암해수욕장,대한민국 강원도 양양군 강현면 정암리 153-5,38.1383171,128.6166032
함덕해수욕장,대한민국 제주특별자치도 제주시 조천읍 함덕리 산14-1,33.5432311,126.6698583
덕포해수욕장,대한민국 경상남도 거제시 덕포동 365-15 덕포해수욕장,34.9119346,128.7121494
우뭇개해안,대한민국 제주특별자치도 서귀포시 성산읍 성산리 104-1,33.4619992,126.9389048
중문색달해수욕장,대한민국 제주특별자치도 서귀포시 색달동 3039-45,33.2448506,126.4103336
돌틈이해수욕장,대한민국 경상남도 거제시 남부면 갈곶리 368,34.7395925,128.6559078
구조라해수욕장,대한민국 경상남도 거제시 일운면 구조라리 500-1,34.8081012,128.6895749
산호-홍조단괴-해빈,대한민국 제주특별자치도 제주시 우도면 연평리 2565-1,33.5019104,126.9427114
사곡해수욕장,대한민국 경상남도 거제시 모래실길 19,34.8989749,128.5725581
우도홍조단괴해변,대한민국 제주특별자치도 제주시 우도면 연평리 2469,33.5050744,126.9415002
하고수동 해수욕장,대한민국 제주특별자치도 제주시 우도면 연평리 682-1,33.5128476,126.9590363
마시안해변,대한민국 인천광역시 중구 마시란로 61,37.4271023,126.4181855
검멀레 해수욕장,,33.4972094,126.9670787
감지해변,대한민국 부산광역시 영도구 동삼동 1052-6,35.0605541,129.0765802
돌목해변,대한민국 전라남도 진도군 조도면 가사도돌목길 205,34.4701261,126.0417857
을왕리해수욕장,대한민국 인천광역시 중구 을왕로13번길 12,37.4468109,126.3716366
왕산해수욕장,,37.455389,126.3678391
무창포 해수욕장,대한민국 충청남도 보령시 웅천읍 관당리 833-4,36.2434554,126.5337321
지리청송해변,대한민국 전라남도 완도군 청산면 지리 970-5,34.1960407,126.8612861
곽지해수욕장야영장,대한민국 제주특별자치도 제주시 애월읍 곽지리 1565,33.4512178,126.3051439
이호테우해변,대한민국 제주특별자치도 제주시 이호일동 1781-6,33.4976683,126.4518711
모진이몽돌해변,대한민국 제주특별자치도 제주시 추자면 신양리 56-1,33.9456712,126.3346179
남항진해변,대한민국 강원도 강릉시 공항길127번길 67,37.7637144,128.9555869
남열 해돋이 해수욕장,대한민국 전라남도 고흥군 영남면 남열리 175-2,34.5803171,127.4874128
월정리 해수욕장,대한민국 제주특별자치도 제주시 구좌읍 월정리 3-2,33.5560608,126.7968492
제부도해수욕장,대한민국 경기도 화성시 서신면 제부리 190-291,37.1656407,126.6182363
와현모래숲해수욕장,대한민국 경상남도 거제시 일운면 와현리 364-2,34.8127918,128.707378
동명해수욕장,대한민국 강원도 강릉시 강동면 정동진리 460,37.704078,129.0175529
옥계 해수욕장,대한민국 강원도 강릉시 옥계면 금진리 산105-7,37.6302946,129.0484225
도작 해수욕장,대한민국 강원도 강릉시 옥계면 도직리 97-19,37.6096425,129.0684762
망상 해수욕장,대한민국 강원도 동해시 동해대로 6270-27,37.5942455,129.090016
노봉 해수욕장,대한민국 강원도 동해시 망상동 167-1,37.5864581,129.1017748
맹방 해수욕장,대한민국 강원도 삼척시 근덕면 하맹방리 221-12,37.3889411,129.2348931
원평 해수욕장,대한민국 강원도 삼척시 근덕면 매원리 81-6,37.3196228,129.272487
용화 해수욕장,대한민국 강원도 삼척시 근덕면 용화리 14-5,37.2905597,129.3032144
신남 해수욕장,대한민국 강원도 삼척시 원덕읍 갈남리 506-13,37.2647497,129.3273194
덕신 해수욕장,대한민국 경상북도 울진군 매화면 덕신리 5-7,36.8837336,129.4164422
망양 해수욕장,대한민국 경상북도 울진군 기성면 망양1길 9,36.8426824,129.4343808
구산 해수욕장,대한민국 경상북도 울진군 기성면 구산리 333-26,36.7527981,129.4679578
후포 해수욕장,대한민국 경상북도 울진군 후포면 삼율리 169-28,36.6759646,129.4441484
덕천 해수욕장,대한민국 경상북도 영덕군 병곡면 덕천리 1-3,36.5689705,129.4225791
망상해수욕장,대한민국 강원도 동해시 망상동 393-16,37.597722,129.082021
진하해수욕장,대한민국 울산광역시 서생면 깨목4길 15 KR 울산광역시 울주군 진하리 84-11,35.3829316,129.3456758
추암해수욕장,대한민국 강원도 동해시 추암동 474-16,37.4781519,129.1595965
모항해수욕장,대한민국 전라북도 부안군 변산면 도청리 203-64,35.5825881,126.5074799
협재 해수욕장,대한민국 제주특별자치도 제주시 한림읍 협재리 2447-45,33.395112,126.2402796
송정해수욕장,대한민국 부산광역시 해운대구 송정해변로,35.1804605,129.203347
변산해수욕장,대한민국 전라북도 부안군 변산면 대항리 528-3,35.6803181,126.5311291
한재밑해수욕장,대한민국 강원도 삼척시 근덕면 상맹방리 산14-7,37.4084958,129.2053505
신두리해수욕장,대한민국 충청남도 태안군 원북면 신두리 1221-65,36.840777,126.191123
가마미해수욕장,대한민국 전라남도 영광군 홍농읍 계마리 799-1,35.3989839,126.4086855
송도해수욕장,대한민국 경상북도 포항시 남구 송도동 378-438,36.0355571,129.3799037
남일대해수욕장,대한민국 경상남도 사천시 향촌동 남일대길,34.9265374,128.0964862
동호해수욕장,대한민국 강원도 양양군 손양면 동호리 1-133,38.0575693,128.6839299
백사장해수욕장,대한민국 충청남도 태안군 안면읍 창기리 1269-101,36.581281,126.31328
망양해수욕장,대한민국 경상북도 울진군 근남면 산포리 745-1,36.9688104,129.4126815
맹방해수욕장,대한민국 강원도 삼척시 근덕면 하맹방리 221-9,37.3905501,129.2314907
주문진해수욕장,강릉시 강원도 대한민국,37.9094238,128.821208
춘장대해수욕장,대한민국 충청남도 서천군 서면 도둔리 1458-2,36.1626967,126.5226731
용두해수욕장,대한민국 충청남도 보령시 남포면 용두욕장2길 22-6,36.2631821,126.5479723
꾸지나무골해수욕장,대한민국 충청남도 태안군 이원면 내리 산172,36.9353784,126.2926422
반암해수욕장,대한민국 강원도 고성군 거진읍 반암리 21-2,38.420231,128.464067
도구해수욕장,대한민국 경상북도 포항시 남구 동해면 일월로81번길 36 도구 해수욕장,35.9920614,129.4427782
한들해수욕장,대한민국 인천광역시 옹진군 북도면 장봉리 200-2,37.5287682,126.3470109
백길해수욕장,대한민국 전라남도 신안군 자은면 유각리 683,34.86263,126.050462
상록해수욕장,대한민국 전라북도 부안군 변산면 도청리 577-23,35.6011968,126.4805405
만성리해수욕장,대한민국 전라남도 여수시 만흥동 60-4,34.7769261,127.7445926
학암포해수욕장,대한민국 충청남도 태안군 원북면 방갈리 산37,36.896965,126.204283
강구오포3리해수욕장,대한민국 경상북도 영덕군 강구면 강구해안길,36.3565581,129.388408
무창포해수욕장,대한민국 충청남도 보령시 웅천읍 관당리 993,36.2447836,126.5360642
장안해수욕장,대한민국 충청남도 보령시 웅천읍 소황리 683-1,36.2003618,126.5392138
고사포해수욕장,대한민국 전라북도 부안군 변산면 운산리 441-5,35.6599227,126.5050623
동호해수욕장,대한민국 전라북도 고창군 해리면 동호리 627-1,35.5147167,126.4817611
송평해수욕장,대한민국 전라남도 해남군 화산면 평호리 496-4,34.4358356,126.4709893
송호해수욕장,대한민국 전라남도 해남군 송지면 송호리 1034-12,34.3132159,126.5196639
김녕해변,대한민국 제주특별자치도 제주시 구좌읍 해맞이해안로 9,33.5576295,126.7592206
표선해비치해변,,33.3278038,126.8386479
하도해변,대한민국 제주특별자치도 제주시 구좌읍 하도리 52-3,33.5131031,126.8994862
경포해수욕장,대한민국 강원도 강릉시 강문동 산4-4,37.803877,128.9096851
삼양검은모래 해변,대한민국 제주특별자치도 제주시 삼양일동 1569-50,33.5264905,126.5860204
깊은금해수욕장,대한민국 전라북도 부안군 위도면 치도리 382-5,35.5896618,126.2706004
용유해변,대한민국 인천광역시 중구 남북동 928-20,37.4422985,126.4002991
나곡해수욕장,대한민국 경상북도 울진군 북면 나곡리 880,37.1266178,129.3712855
문암해수욕장 ,대한민국 강원도 삼척시 근덕면 초곡리 257-10,37.3090605,129.2890802
후정해수욕장,대한민국 경상북도 울진군 죽변면 후정리 53-27,37.0704188,129.4161635
부구해수욕장 ,대한민국 경상북도 울진군 북면 부구리 163-63,37.103832,129.3765569
고포해수욕장,대한민국 강원도 삼척시 원덕읍 월천리 2-1,37.1487075,129.3622862
월천해수욕장 ,대한민국 강원도 삼척시 원덕읍 월천리 165-27,37.1597349,129.35566
임원해수욕장,대한민국 강원도 삼척시 원덕읍 임원리 241-28,37.2266924,129.3414379
통구미몽돌해변,,37.4597431,130.8652989
삼척해수욕장,대한민국 강원도 삼척시 갈천동 14-12,37.4682253,129.16958
증산해수욕장,대한민국 삼척시 증산동 30-4번지 삼척시 강원도 KR,37.4743735,129.1621189
장호해수욕장,대한민국 강원도 삼척시 근덕면 장호리 300-1,37.2861867,129.3123394
염전해변,대한민국 강원도 강릉시 강동면 하시동리 757-23,37.7498854,128.9738576
어달해수욕장,대한민국 동해시 구어달동사무소,37.568446,129.1180069
영일대 해수욕장,대한민국 경상북도 포항시 북구 두호동 1015,36.0565144,129.3792509
오도리해변,대한민국 경상북도 포항시 북구 흥해읍 오도리 314-5,36.1559047,129.3987907
오도앞바다,대한민국 경상북도 포항시 북구 흥해읍 오도리 151-3,36.1608975,129.3976326
송도해수욕장,대한민국 부산광역시 서구 암남동 135-5,35.0756374,129.0188142
다대포해수욕장,대한민국 부산광역시 사하구 다대동 다대로 680,35.0466046,128.9635267
송정해수욕장,대한민국 부산광역시,35.1752166,129.201073
일광해수욕장,대한민국 부산광역시 기장군 일광면 삼성리 116-21,35.2610672,129.2349779
화진포해수욕장,대한민국 강원도 고성군 거진읍 화포리 1,38.4781337,128.4394377
대전해수욕장,대한민국 전라남도 고흥군 두원면 대전리 37-14,34.7145877,127.2728435
풍류해수욕장,대한민국 전라남도 고흥군 두원면 풍류리 680-1,34.6645877,127.2295636
예내해변,대한민국 전라남도 고흥군 봉래면 하반로 483,34.4547027,127.5202234
궁평리해수욕장,대한민국 경기도 화성시 서신면 궁평리 514-5,37.1250751,126.6827477
율포솔밭해변,대한민국 전라남도 보성군 회천면 동율리 679,34.6698138,127.0906486
죽림해수욕장,대한민국 경상남도 거제시 거제면 오수리 817-2,34.8372,128.5858577
어반비치,대한민국 인천광역시 서구 청라동 106-2 플라워뮤직아일랜드,37.5286725,126.6329764
만리포해수욕장,,36.7883979,126.1395672
덕원해수욕장,대한민국 경상남도 거제시 동부면 가배리 13,34.778674,128.5766079
정동진해변,대한민국 강원도 강릉시 강동면 정동진리 440-55,37.6973862,129.0271723
물안해수욕장,대한민국 경상남도 거제시 하청면 어온리 13-12,35.0109361,128.6531768
옥계해수욕장,대한민국 경상남도 거제시 하청면 연구리 산84-8,34.9777118,128.6305835
만성리해수욕장,대한민국 전라남도 여수시 만흥동 만성리길 15-1,34.7777265,127.7462012
흥남해수욕장,대한민국 경상남도 거제시 장목면 시방리 293-1,34.9595027,128.7159166
어머리해변,,35.0514701,126.0925304
농소몽돌해수욕장,대한민국 경상남도 거제시 장목면 농소리 886,35.0073724,128.7035759
금당화해변,대한민국 전라남도 고흥군,34.3315726,127.062179
구영해수욕장,대한민국 경상남도 거제시 장목면 구영리 367,35.0312039,128.6911659
황포해수욕장,대한민국 경상남도 거제시 장목면 구영리 1174-3,35.0206613,128.6747903
여차몽돌해수욕장,대한민국 경상남도 거제시 남부면 다포리 53-8,34.7135877,128.6267139
명사해수욕장,대한민국 경상남도 거제시 남부면 저구리 265-9,34.727185,128.603879
사도해변,대한민국 전라남도 여수시 화정면 낭도리 210-11,34.5918279,127.5561087
사도 신비의바닷길,대한민국 전라남도 고흥군,34.5880054,127.5613665
신전해수욕장,대한민국 전라남도 진도군 조도면 신육리 산121,34.2841036,126.0743016
봉길대왕암해변,대한민국 경상북도 경주시 문무대왕면 봉길리 26-2,35.7402807,129.4838229
나정고운모래해변,대한민국 경상북도 경주시 감포읍 나정리 633-1,35.7834506,129.4915098
전촌솔밭해변,대한민국 경상북도 경주시 감포읍 전촌리 1279,35.7873178,129.4917869
나아해변,대한민국 경상북도 경주시,35.7031298,129.4736901
동막해변,대한민국 인천광역시 강화군 화도면 동막리,37.5921759,126.4580297
민머루해변,대한민국 인천광역시 강화군 삼산면 매음리 871-3,37.6505514,126.3337723
천진해변,대한민국 강원도 고성군 토성면 천진리 11-6,38.258256,128.5605906
봉포해변,대한민국 강원도 고성군 토성면 봉포리 286-7,38.2544652,128.5635914
청간해변,대한민국 강원도 고성군 토성면 청간리 46-36,38.2677223,128.557305
아야진해변,대한민국 강원도 고성군 토성면 아야진리 233,38.2768888,128.5534182
교암리해변,대한민국 강원도 고성군 토성면 교암리 1-50,38.2926944,128.5480594
백도해변,대한민국 강원도 고성군 죽왕면 문암항길 133,38.2998786,128.5469193
문암해변,대한민국 강원도 고성군 죽왕면 문암진리 134-5,38.2969836,128.548201
자작도해변,대한민국 강원도 고성군 죽왕면 문암진리 460-74,38.3085803,128.5430576
삼포해수욕장,대한민국 강원도 고성군,38.3152324,128.536709
봉수대해수욕장,대한민국 강원도 고성군 죽왕면 오호리 68-23,38.3227686,128.5282664
송지호해수욕장,대한민국 강원도 고성군,38.3408497,128.5197023
공현진해변,대한민국 강원도 고성군 죽왕면 공현진리 431-8,38.3593342,128.5089901
실미도해변,대한민국 인천광역시 중구 무의동 768-13,37.4034718,126.4026237
하나개해변,대한민국 인천광역시 중구 무의동 산187-8,37.3858419,126.4088933
십리포해변,대한민국 인천광역시 옹진군 영흥면 내리 724-97,37.2819672,126.4851201
장경리해변,대한민국 인천광역시 옹진군 영흥면 내리 1672-6,37.2737695,126.4500134
가진해변,대한민국 강원도 고성군 죽왕면 가진리 168-1,38.3738929,128.5091656
관성솔밭해변,대한민국 경주시 양남면 수렴리 425-20번지 경주시 경상북도 KR,35.6608759,129.4524173
오류고아라해변,대한민국 경상북도 경주시 감포읍 오류리 297-7,35.8210982,129.5104342
양포해변,대한민국 경상북도 포항시 남구 장기면 동해안로3248번길 28,35.8749665,129.5184741
구룡포해변,대한민국 경상북도 포항시 남구 구룡포읍 구룡포리 9-36,35.9971469,129.5668203
삼정해변,대한민국 경상북도 포항시 남구 구룡포읍 일출로72번길 14-10,36.0029166,129.5717583
송도해변,대한민국 경상북도 포항시 남구 송도동 378-447,36.0328837,129.382229
칠포해변,대한민국 경상북도 포항시 북구 흥해읍 칠포리 197-33,36.1321692,129.4001393
월포해변,대한민국 경상북도 포항시,36.1998941,129.3732496
조사리해변,대한민국 경상북도 포항시 북구 송라면 해안로 2758,36.2279504,129.3819674
화진해변,대한민국 경상북도 포항시 북구 송라면 지경리 226,36.2498789,129.3755365
장사해변,대한민국 경상북도 영덕군 남정면 장사리 67-66,36.2836229,129.3763822
남호해변,대한민국 경상북도 영덕군 남정면 남호리 19-4,36.3281489,129.3800925
광치기해변,대한민국 제주특별자치도 서귀포시 성산읍 고성리 224-2,33.4538483,126.9258314
하모해수욕장,대한민국 제주특별자치도 서귀포시 대정읍 하모리 625-12,33.2111466,126.260431
거문도해수욕장,대한민국 전라남도 여수시 삼산면 덕촌리 349-1,34.0194397,127.3043641
동개해수욕장,대한민국 전라남도 신안군 흑산면 가거도리 136,34.0495021,125.1318631
배낭기미해변,대한민국 전라남도 신안군 흑산면 진리 586-1,34.6892176,125.4271692
관매도해변,,34.2433086,126.0506205
대천해수욕장,대한민국 충청남도 보령시 신흑동 1181-3,36.3112465,126.511308
사계해안,대한민국 서귀포시 화순파출소사계출장소,33.2245706,126.2993456
세화해변,대한민국 제주특별자치도 제주시 구좌읍 세화리 1477-48,33.5250276,126.8604063
궁항해변,대한민국 전라남도 진도군 조도면 가사도리 33-1,34.4779884,126.0643859
황성금리해수욕장,대한민국 전라남도 신안군 신의면 하태서리 산151-1,34.5342837,126.0566024
신도해수욕장,대한민국 전라남도 신안군 하의면 능산리 876,34.5886217,125.9732518
신양섭지해변,대한민국 제주특별자치도 서귀포시 성산읍 섭지코지로 88,33.4347343,126.9233094
돈목해수욕장,대한민국 전라남도 신안군 도초면 우이도리 산382-4,34.6084042,125.8278209
성촌해변,,34.6148739,125.8258692
띠밭넘어해변,,34.6220985,125.8387053
해피플레이스애견비치,대한민국 강원도 양양군 현북면 잔교리 41-10,38.0041175,128.7333
송이도해수욕장,대한민국 전라남도 영광군 낙월면 송이리 1-36,35.2746014,126.1516923
옥돌해수욕장,대한민국 전라북도 군산시 옥도면 선유도리 15,35.8075259,126.4098508
선유도해수욕장,,35.8182274,126.4112032
강문해변,대한민국 강원도 강릉시 강문동 182-36,37.7958401,128.9184981
사근진해수욕장,대한민국 강원도 강릉시 해안로604번길 16,37.812569,128.8988371
추포해수욕장,대한민국 전라남도 신안군 암태면 수곡리 1002-2,34.8047009,126.0667716
안목해수욕장,대한민국 강원도 강릉시 창해로14번길 24,37.7726972,128.9477772
신흥해수욕장,대한민국 전라남도 완도군 청산면 신흥리 578-4,34.1836604,126.9078188
매도,대한민국 인천광역시 서구 오류동 산225,37.568619,126.5856372
모래구미해수욕장,대한민국 전라남도 신안군 하의면 어은리 482-3,34.5777805,126.0204615
시목해수욕장,,34.6711257,125.9529802
백길해변,대한민국 전라남도 신안군 자은면 자은서부1길 163-119,34.8494289,126.0390659
면전해변,,34.8562699,126.0304504
한강백사장,대한민국 서울특별시 송파구 잠실동 1,37.5179396,127.0833936
팔미도 해수욕장,대한민국 인천광역시 중구 무의동 산375-2,37.3598916,126.5135843
낭도해수욕장,대한민국 전라남도 여수시 화정면 낭도리 572,34.6004725,127.5400311
장사금해수욕장,대한민국 전라남도 여수시 화정면 낭도리 496,34.6001369,127.5500089
위도해수욕장,,35.6051815,126.2820262
진해 오션 리조트,대한민국 경상남도 창원시,35.0888135,128.7444274
명사의해변,대한민국 인천광역시 중구 용유동 산370,37.3708504,126.4446882
덕산해변,대한민국 강원도 삼척시 근덕면 덕산리 82-1,37.3838083,129.2454897
문갑해수욕장,대한민국 인천광역시 옹진군 덕적면 문갑리 43-2,37.1744609,126.1078518
쏠비치 양양,대한민국 강원도 양양군 손양면 선사유적로 678,38.0874144,128.6655308
쏠비치삼척,대한민국 강원도 삼척시 수로부인길 453,37.4711868,129.1638904
쏠비치진도,대한민국 전라남도 진도군 의신면 초사리 1206,34.4000445,126.32768
연대도해변,대한민국 경상남도 통영시 산양읍 연곡리 58-13,34.7343334,128.3959354
죽도해변,대한민국 강원도 양양군 현남면 두리 10-13,37.9755022,128.760359
오션투유리조트,대한민국 강원도 고성군 죽왕면 삼포리 243-13,38.3171095,128.5309805
한들해수욕장,대한민국 인천광역시 옹진군 북도면 장봉리 200-1 한들해수욕장,37.5280363,126.345175
당너머해수욕장,대한민국 충청남도 보령시 오천면 장고도1길 73-38,36.3959521,126.3349824
꽃지해수욕장,대한민국 충청남도 홍성군,36.4876463,126.3342102
방포해수욕장,대한민국 충청남도 태안군 안면읍 승언리 339-357,36.5091179,126.3321598
하평해변,대한민국 강원도 동해시 평릉동 83-10,37.5343877,129.1160488
고불개해변,대한민국 강원도 동해시 한섬해안길 104,37.5277891,129.1223875
한섬해수욕장,대한민국 강원도 동해시 천곡동 45-3,37.518921,129.123162
방죽포 해수욕장 ,대한민국 전라남도 여수시 돌산읍 죽포리 308-2,34.630765,127.7936967
자갈개,대한민국 부산광역시 강서구 대항동 184-18,35.0066281,128.8235689
자갈개,대한민국 외양포,35.0050764,128.8236162
망양정해수욕장,대한민국 경상북도 울진군 근남면 산포리 745-1,36.9695597,129.4123565
구산해수욕장,대한민국 경상북도 울진군 기성면 구산리 산73-1,36.7522682,129.4688127
고래불해수욕장,대한민국 경상북도 영덕군,36.5973052,129.4116113
원산도해수욕장,대한민국 충청남도 보령시 오천면 원산도리 1860-13,36.3628302,126.4287138
대탄해수욕장,대한민국 경상북도 영덕군 영덕읍 대탄리 26-6,36.4367101,129.4330049
오보해수욕장,대한민국 경상북도 영덕군 영덕읍 오보리 134-1,36.4411976,129.4329638
경정해수욕장,대한민국 경상북도 영덕군 축산면 경정리 426-1,36.4815509,129.4332878
대진해수욕장,대한민국 경상북도 영덕군 영해면 대진리 426-7,36.5654541,129.4263861
덕천해수욕장,대한민국 경상북도 영덕군 병곡면 고래불로 68,36.5707481,129.4209542
영리해수욕장,대한민국 경상북도 영덕군 병곡면 영리 155-1,36.5903664,129.4106956
후포해수욕장,대한민국 경상북도 울진군 후포면 삼율리 169-28,36.6757991,129.44446
기성망양해수욕장,대한민국 경상북도 울진군 기성면 망양리 140-3,36.8424395,129.4352389
덕신해수욕장,대한민국 경상북도 울진군 매화면 덕신1길 20-8,36.8844911,129.4167648
염전해수욕장,대한민국 경상북도 울진군 근남면 수산리 76,36.9740554,129.4101141
봉평해수욕장,대한민국 경상북도 울진군 죽변면 봉평리 97-9,37.0435765,129.4136994
부구해수욕장,대한민국 경상북도 울진군 북면 부구리 163-63,37.1036264,129.3769874
나곡해수욕장,대한민국 경상북도 울진군 북면 나실길 20-15,37.1263317,129.3715967
오포3리해수욕장,대한민국 경상북도 영덕군 강구면 강구해안길,36.3565467,129.3889337
화순금모래해수욕장,대한민국 제주특별자치도 서귀포시 안덕면 화순해안로 66-13,33.2403847,126.3325046
황우치 해변,대한민국 제주특별자치도 서귀포시 안덕면 사계리 92,33.2375423,126.3180647
오션밸리 리조트,대한민국 강원도 양양군 양양읍 일출로 127-30,38.1104526,128.6400089
격포해수욕장,대한민국 전라북도 부안군 변산면 격포리 282-21 변산반도국립공원 격포 지구,35.6287629,126.4699042
후포해변,대한민국 제주특별자치도 제주시 추자면 대서리 268,33.9626564,126.289218
이금포해변,대한민국 전라남도 여수시 삼산면 서도리 67,34.0559642,127.2952318
사근진해변,대한민국 강원도 강릉시 해안로604번길 18,37.8128204,128.8987427
권덕리해변,대한민국 전라남도 완도군 청산면 읍리 158-6,34.1550376,126.8813717
협곡몽돌해변,대한민국 전라남도 신안군 흑산면 가거도리 산95-9,34.0713855,125.09629
서랑비치,대한민국 인천광역시 옹진군 덕적면 서포리 95-2,37.2167407,126.1162568
논짓물해변,대한민국 제주특별자치도 서귀포시 하예동 568,33.2372508,126.389489
금능 해수욕장 야영장,대한민국 제주특별자치도 제주시 한림읍 협재리 2498,33.3918426,126.2383923
곽지과물,"곽지과 물, 대한민국",33.451343,126.3046849
내도몽돌해변,대한민국 제주특별자치도 제주시 내도동 515-1,33.4959359,126.4396111
학포항,대한민국 경상북도 울릉군 서면 태하리 376-3,37.503753,130.8048936
속초해수욕장,대한민국 강원도 속초시 조양동 해오름로 186,38.1909848,128.6034883
게우지코지,대한민국 제주특별자치도 서귀포시 하효동 1371-2,33.2440809,126.6196131
생이돌,대한민국 제주특별자치도 서귀포시 하효동 1371-2,33.2438933,126.6194282
볼레낭개,대한민국 제주특별자치도 서귀포시 보목동 570,33.2393325,126.6051566
앞개,대한민국 제주특별자치도 서귀포시 보목동 보목로70번길 8,33.2385203,126.60292
앞바당,대한민국 제주특별자치도 서귀포시 보목동 보목로70번길 8,33.2381191,126.6031036
섬도코지,대한민국 제주특별자치도 서귀포시 보목동 1348-8,33.2352407,126.5987641
황개,대한민국 제주특별자치도 서귀포시 보목동 1396,33.2379142,126.5926722
소렛개,대한민국 제주특별자치도 서귀포시 보목동 1401-1,33.2407089,126.5918455
갯늪,대한민국 제주특별자치도 서귀포시 표선면 표선리 4,33.3241669,126.8460168
소금막해변,대한민국 제주특별자치도 서귀포시 표선면 하천리 87-2,33.3311832,126.8424684
가마리개,대한민국 제주특별자치도 서귀포시 표선면 세화리 240-5,33.3047356,126.8051071
가는개,대한민국 제주특별자치도 서귀포시 표선면 세화리 1563-1,33.3043336,126.7940721
선녀탕,대한민국 제주특별자치도 서귀포시 서홍동 2593,33.2395251,126.5489082
돔베낭골,대한민국 제주특별자치도 서귀포시 호근동 1608-6,33.2393972,126.5334672
물건해수욕장,대한민국 경상남도 남해군 삼동면 물건리 46,34.7982094,128.0510996
용담리해수욕장,대한민국 인천광역시 옹진군 영흥면 외리 247-88,37.2387571,126.4703079
장골해변,대한민국 인천광역시 옹진군 자월면 자월서로 94,37.2495483,126.3130493
큰말해수욕장,대한민국 인천광역시 옹진군 자월면 자월리 1116-3,37.252786,126.3057884
큰가마골해수욕장,대한민국 전라남도 영광군 낙월면 하낙월리 산39,35.1999981,126.1293272
화암방파제,대한민국 울산광역시 동구 방어동 955-1,35.471408,129.4049603
옹암해수욕장,대한민국 인천광역시 옹진군 북도면 장봉리 59-13,37.5297947,126.3721284
모상개해수욕장,대한민국 경상남도 남해군 흥선로1505번길 65-110 KR,34.8396856,128.0757542
대광 해수욕장,대한민국 전라남도 신안군 임자면 대기리 2523-6,35.1034287,126.0726675
톱머리해수욕장,대한민국 전라남도 무안군 망운면 피서리 809-33,34.9670976,126.3896518
돌머리해수욕장,대한민국 전라남도 함평군 함평읍 석성리 산223-4,35.0853737,126.4381977
명장섬해수욕장,대한민국 충청남도 보령시 오천면 삽시도리 439-6,36.4012892,126.3450874
고파도해수욕장,대한민국 충청남도 서산시 팔봉면 고파도1길 21,36.9094598,126.3379717
상맹방해수욕장,대한민국 강원도 삼척시 근덕면 상맹방리 466-12,37.4032408,129.2116069
부남해수욕장,대한민국 강원도 삼척시 근덕면 부남리 84-1,37.3624357,129.2513058
새비지들,대한민국 부산광역시 강서구 눌차동 141-6,35.0605975,128.8462356
탕수구미,대한민국 부산광역시,35.063223,128.8549343
봉평해수욕장,대한민국 경상북도 울진군 죽변면 울진북로 1180,37.0438604,129.4133914
저두해수욕장,대한민국 충청남도 보령시 오천면 원산도리 142-3,36.3574591,126.4533855
원산도해수욕장,대한민국 충청남도 보령시 오천면 원산도리 1859-1,36.3633043,126.4275435
